"","file","test_report","p_value","p_value_reporting","p_value_num","use_p_val","p_value_calc"
"RESULTS__Manipulation Checks_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F(1, GENDER AMBIGUOUS VOICES 1795) = .121, p = .729","p = .729","exact",0.729,TRUE,NA
"RESULTS__Manipulation Checks_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","X 2 (1, N = 1799) = 1453.88, p < .001, V = .67","p < .001","limit",0.001,TRUE,NA
"RESULTS__Prejudice Scale_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .88, ","p = .88","exact",0.88,TRUE,NA
"RESULTS__Prejudice Scale_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .39, ","p = .39","exact",0.39,TRUE,NA
"RESULTS__Prejudice Scale_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .52, ","p = .52","exact",0.52,TRUE,NA
"RESULTS__Prejudice Scale_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Prejudice Scale_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F(1, 1794) = .12, p = .73","p = .73","exact",0.73,TRUE,NA
"RESULTS__Prejudice Scale_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","likely false extraction: p = .092, ","p = .092","exact",0.092,FALSE,NA
"RESULTS__Prejudice Scale_17","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","likely false extraction: p = .36, ","p = .36","exact",0.36,FALSE,NA
"RESULTS__LGBTQ Perception_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","n.","n.s","limit",NA,TRUE,NA
"RESULTS__LGBTQ Perception_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .032, ","p = .032","exact",0.032,TRUE,NA
"RESULTS__LGBTQ Perception_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__LGBTQ Perception_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__LGBTQ Perception_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__LGBTQ Perception_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F (1,602) = .063, p = .80","p = .80","exact",0.8,TRUE,NA
"RESULTS__Method_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .128, ","p = .128","exact",0.128,TRUE,NA
"RESULTS__Method_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Method_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Method_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__How does loneliness change with age?_1","downloads/Psychological_Science/10117709567976241242037.grobid.tei.xml","B = 0.07, SE = 0.03, p = .01","p = .01","exact",0.01,TRUE,NA
"RESULTS__Results_1110","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001,d = 0.36,95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_122","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .018, d = 0.19, 95","p = .018","exact",0.018,TRUE,NA
"RESULTS__Results_131","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, d = 0.27, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_141","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .08, d = 0.11, 95","p = .08","exact",0.08,TRUE,NA
"RESULTS__Results_15","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, d = 0.21, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_16","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .006, d = 0.13, 95","p = .006","exact",0.006,TRUE,NA
"RESULTS__Results_17","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, d = 0.16, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_18","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .098, d = 0.07, 95","p = .098","exact",0.098,TRUE,NA
"RESULTS__Results_19","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","by frame, t(1,414) = 0.030, p = .976","p = .976","exact",0.976,TRUE,NA
"RESULTS__Results_110","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .03, d = 0.14, 95","p = .03","exact",0.03,TRUE,NA
"RESULTS__Results_111","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","F(4, 2351) = 1.71, p = .145","p = .145","exact",0.145,TRUE,NA
"RESULTS__Results_112","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .008, d = 0.14, 95","p = .008","exact",0.008,TRUE,NA
"RESULTS__Results_113","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","F(1,1317) = 10.31, p = .001","p = .001","exact",0.001,TRUE,NA
"RESULTS__Results_114","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, d = 0.29, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_115","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .624, d = 0.04, 95","p = .624","exact",0.624,TRUE,NA
"RESULTS__Results_116","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, OR= 0.73, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_117","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .031, OR= 1.12, 95","p = .031","exact",0.031,TRUE,NA
"RESULTS__Results_118","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .327, although the fully between","p = .327","exact",0.327,TRUE,NA
"RESULTS__Results_119","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .024, OR= 1.18, 95","p = .024","exact",0.024,TRUE,NA
"RESULTS__Results_120","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .412, OR = 1.06, 95","p = .412","exact",0.412,TRUE,NA
"RESULTS__Results_121","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .002, ","p = .002","exact",0.002,TRUE,NA
"METHODS__Stimuli_1","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","; facing vs. non-facing: t(30) = 0.03, p = .979","p = .979","exact",0.979,TRUE,NA
"RESULTS__Results_1111","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_1210","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .039","p = .039","exact",0.039,TRUE,NA
"RESULTS__Results_138","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .026","p = .026","exact",0.026,TRUE,NA
"RESULTS__Results_142","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .016, Cohen","p = .016","exact",0.016,TRUE,NA
"RESULTS__Results_151","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .543, Cohen","p = .543","exact",0.543,TRUE,NA
"RESULTS__Results_161","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","ikely false extraction: p < .05","p < .05","limit",0.05,FALSE,NA
"RESULTS__Results_171","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","5; ** p < .01","p < .01.","limit",0.01,FALSE,NA
"RESULTS__Results_181","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","Meaningfulness: t(137) = 6.72, p < .001, d = 0.57","p < .001","calc_from_t",0.001,TRUE,4.479343e-10
"RESULTS__Results_191","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml"," Emotional content: t(137) = 5.13, p < .001, d = 0.44","p < .001","calc_from_t",0.001,TRUE,9.703498e-07
"RESULTS__Results_1101","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","; Intentionality: t(137) = 5.55, p < .001, d = 0.47","p < .001","calc_from_t",0.001,TRUE,1.427638e-07
"RESULTS__Results_1112","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","t(137) = 1.10, p = .272, d = 0.09","p = .272","exact",0.272,TRUE,NA
"RESULTS__Results_1121","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","Meaningfulness: t(137) = 7.05, p < .001, d = 0.60","p < .001","calc_from_t",0.001,TRUE,8.007931e-11
"RESULTS__Results_1131","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml"," Emotional content: t(137) = 7.07, p < .001, d = 0.60","p < .001","calc_from_t",0.001,TRUE,7.20608e-11
"RESULTS__Results_1141","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","; Intentionality: t(137) = 7.55, p < .001, d = 0.64","p < .001","calc_from_t",0.001,TRUE,5.521882e-12
"RESULTS__Results_1151","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","Meaningfulness: t(137) = -1.95, p = .053, d = -0.17","p = .053","exact",0.053,TRUE,NA
"RESULTS__Results_1161","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml"," Emotional content: t(137) = 1.44, p = .153, d = 0.12","p = .153","exact",0.153,TRUE,NA
"RESULTS__Results_1171","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","; Intentionality: t(137) = 0.36, p = .719, d = 0.03","p = .719","exact",0.719,TRUE,NA
"RESULTS__Results_1181","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p < .001, d = 0.60, and non","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_1191","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","t(137) = 5.79, p < .001","p < .001","calc_from_t",0.001,TRUE,4.592836e-08
"RESULTS__Results_1201","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .003, Cohen","p = .003","exact",0.003,TRUE,NA
"RESULTS__Results_1211","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","exact binomial test p = .007","p = .007","exact",0.007,TRUE,NA
"RESULTS__Results_1221","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","2617-2833 ms, p = .046","p = .046","exact",0.046,TRUE,NA
"RESULTS__Results_123","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml"," 2983-3267 ms, p = .023","p = .023","exact",0.023,TRUE,NA
"RESULTS__Results_124","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml"," 3450-3733, p = .020","p = .020","exact",0.02,TRUE,NA
"RESULTS__Results_125","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .318, Cohen","p = .318","exact",0.318,TRUE,NA
"RESULTS__Results_126","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .471, Cohen","p = .471","exact",0.471,TRUE,NA
"RESULTS__Results_127","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .045, Cohen","p = .045","exact",0.045,TRUE,NA
"RESULTS__Results_128","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .035, Cohen","p = .035","exact",0.035,TRUE,NA
"RESULTS__Results_129","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .036, Cohen","p = .036","exact",0.036,TRUE,NA
"RESULTS__Results_130","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .052, Cohen","p = .052","exact",0.052,TRUE,NA
"RESULTS__Results_1311","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .007, Cohen","p = .007","exact",0.007,TRUE,NA
"RESULTS__Results_132","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .042, Cohen","p = .042","exact",0.042,TRUE,NA
"RESULTS__Results_133","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .171, Cohen","p = .171","exact",0.171,TRUE,NA
"RESULTS__Results_134","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .026","p = .026","exact",0.026,TRUE,NA
"RESULTS__Results_135","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .103, Cohen","p = .103","exact",0.103,TRUE,NA
"RESULTS__Results_136","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .005, Cohen","p = .005","exact",0.005,TRUE,NA
"RESULTS__Results_137","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","p = .043","p = .043","exact",0.043,TRUE,NA
"RESULTS__Stimuli_1","downloads/Psychological_Science/10117709567976241242995.grobid.tei.xml","; t(29) = 0.292, p = .772","p = .772","exact",0.772,TRUE,NA
"RESULTS__Experiment 1 Results:_1","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(148.4) = 10.40, p < 0.001","p < 0.001","limit",0.001,TRUE,NA
"RESULTS__Experiment 1 Preregistered Replication Analyses_11","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 536) = 0.15, p = 0.70","p = 0.70","exact",0.7,TRUE,NA
"RESULTS__Experiment 1 Preregistered Replication Analyses_12","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 592) = 0.198, p = 0.66","p = 0.66","exact",0.66,TRUE,NA
"RESULTS__Experiment 1 Preregistered Extension Analyses_11","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 536) = 1.27, p = 0.26","p = 0.26","exact",0.26,TRUE,NA
"RESULTS__Experiment 1 Preregistered Extension Analyses_12","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 592) = 40.16, p < 0.001","p < 0.001","calc_from_f",0.001,TRUE,4.638323e-10
"RESULTS__Experiment 1 Preregistered Extension Analyses_13","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 536) = 3.22, p = 0.07","p = 0.07","exact",0.07,TRUE,NA
"RESULTS__Experiment 1 Preregistered Extension Analyses_14","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 592) = 2.88, p =0.09","p =0.09","exact",0.09,TRUE,NA
"RESULTS__Experiment 1 Preregistered Extension Analyses_15","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(592) = 15.58, p < 0.001","p < 0.001","calc_from_t",0.001,TRUE,4.079949e-46
"RESULTS__Experiment 1 Preregistered Extension Analyses_16","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(290) = 3.79, p < 0.001, and a significant interaction effect between condition and collective identification b = -0.39, SE = 0.11, t(290","p < 0.001","calc_from_t",0.001,TRUE,0.0001832354
"RESULTS__Experiment 1 Preregistered Extension Analyses_17","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","b = -0.39, SE = 0.11, t(290) = -3.64, p < 0.001","p < 0.001","calc_from_t",0.001,TRUE,0.0003227359
"RESULTS__Experiment 1 Preregistered Extension Analyses_18","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","p < 0.001, such that participants judged other in","p < 0.001","limit",0.001,TRUE,NA
"RESULTS__Experiment 1 Preregistered Extension Analyses_19","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","p < 0.20 This provided evidence of in","p < 0.20","limit",0.2,TRUE,NA
"RESULTS__Experiment 1 Robustness Analyses_11","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 588) = 0.66, p = 0.42","p = 0.42","exact",0.42,TRUE,NA
"RESULTS__Experiment 1 Robustness Analyses_12","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","= 1.56, t(584.7) = 1.09, p = 0.28","p = 0.28","exact",0.28,TRUE,NA
"RESULTS__Experiment 1 Exploratory Analyses_11","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(146) = -2.78, p = 0.006, and political extremity, b = 0.13, SE = 0.04, t(146","p = 0.006","exact",0.006,TRUE,NA
"RESULTS__Experiment 1 Exploratory Analyses_12","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","p = 0.001 significantly predicted out","p = 0.001","exact",0.001,TRUE,NA
"RESULTS__Experiment 2 Results:_1","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(146) = 11.58, p < 0.001","p < 0.001","calc_from_t",0.001,TRUE,2.089946e-22
"RESULTS__Experiment 2 Preregistered Extension Analyses_11","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 528) = 1.86, p = 0.17","p = 0.17","exact",0.17,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_12","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 581) = 1.56, p = 0.21","p = 0.21","exact",0.21,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_13","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 528) = 1.44, p = 0.23","p = 0.23","exact",0.23,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_14","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 581) = 40.61, p < 0.001","p < 0.001","calc_from_f",0.001,TRUE,3.786376e-10
"RESULTS__Experiment 2 Preregistered Extension Analyses_15","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 528) = 9.04, p = 0.003","p = 0.003","exact",0.003,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_16","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1,581) = 7.46, p = 0.007","p = 0.007","exact",0.007,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_17","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(582) = 31.36, p < 0.001","p < 0.001","calc_from_t",0.001,TRUE,3.736026e-127
"RESULTS__Experiment 2 Preregistered Extension Analyses_18","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(967.4) = -15.81, p < 0.001","p < 0.001","limit",0.001,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_19","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(284) = -1.64, p = 0.10, or collective identification, b = -0.01, SE = 0.053, t(284","p = 0.10","exact",0.1,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_110","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","t(284) = -0.154, p = 0.878, or the interaction effect for these predictions, b = -0.02, SE = 0.07, t(284","p = 0.878","exact",0.878,TRUE,NA
"RESULTS__Experiment 2 Preregistered Extension Analyses_111","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","predictions, b = -0.02, SE = 0.07, t(284) = -0.29, p = 0.77","p = 0.77","exact",0.77,TRUE,NA
"RESULTS__Experiment 2 Robustness Analyses_1","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 577) = 0.75, p = 0.39","p = 0.39","exact",0.39,TRUE,NA
"RESULTS__Experiment 1 and Experiment 2 Comparison Analyses_11","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 581) = 1.84, p = 0.17, η2 =0.003 , nor did we find a significant interaction effect, F(1, 581","p = 0.17","exact",0.17,TRUE,NA
"RESULTS__Experiment 1 and Experiment 2 Comparison Analyses_12","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 581) = 0.59, p = 0.44","p = 0.44","exact",0.44,TRUE,NA
"RESULTS__Experiment 1 and Experiment 2 Comparison Analyses_13","downloads/Psychological_Science/10117709567976241246552.grobid.tei.xml","F(1, 581) = 11.69, p < 0.001","p < 0.001","calc_from_f",0.001,TRUE,0.0006724067
"RESULTS__Results_1","downloads/Psychological_Science/10117709567976241251766.grobid.tei.xml","F(2, 541) = 7.12, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results and Discussion_11","downloads/Psychological_Science/10117709567976241252138.grobid.tei.xml","p=.36, effect size","p=.36","exact",0.36,TRUE,NA
"RESULTS__Results and Discussion_12","downloads/Psychological_Science/10117709567976241252138.grobid.tei.xml","p=0.07, effect size","p=0.07","exact",0.07,TRUE,NA
"RESULTS__Results and Discussion_13","downloads/Psychological_Science/10117709567976241252138.grobid.tei.xml","p=0.001, effect size","p=0.001","exact",0.001,TRUE,NA
"RESULTS__Results and Discussion_14","downloads/Psychological_Science/10117709567976241252138.grobid.tei.xml","specifically, for the largest crowd size N=70, unpaired t-test: t(998)=58.4, p<10 -200 ","p<10","calc_from_t",10,FALSE,0
"RESULTS__Results and Discussion_15","downloads/Psychological_Science/10117709567976241252138.grobid.tei.xml","crowd size N=70, unpaired t-test: t(998)=78.5, p<10 -200 ","p<10","calc_from_t",10,FALSE,0
"RESULTS__2B_1","downloads/Psychological_Science/10117709567976241252138.grobid.tei.xml","","p<10","limit",10,FALSE,NA
"RESULTS__Learning machine reward probabilities_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","Intercept = 2.4, SE = .17, z = 13.8, p < .001","p < .001","calc_from_z",0.001,TRUE,2.548526e-43
"RESULTS__Learning machine reward probabilities_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.42, SE = .08, X 2 (1) = 20.86, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,4.941058e-06
"RESULTS__Learning machine reward probabilities_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .71, SE = .08, X 2 (1) = 60.59, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,7.029018e-15
"RESULTS__Learning machine reward probabilities_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .21, SE = .17, X 2 (1) = 1.46, p = .227","p = .227","exact",0.227,TRUE,NA
"RESULTS__Learning machine reward probabilities_15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .10, SE = .08, X 2 (1) = 1.46, p = .226","p = .226","exact",0.226,TRUE,NA
"RESULTS__Sensitivity to the intrinsic and instrumental value of choice_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = 1.42, SE = .07, X 2 (1) = 144.39, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,2.919604e-33
"RESULTS__Sensitivity to the intrinsic and instrumental value of choice_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .15, SE = .07, X 2 (1) = 4.17, p = .041","p = .041","exact",0.041,TRUE,NA
"RESULTS__Sensitivity to the intrinsic and instrumental value of choice_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .33, SE = .04, X 2 (1) = 50.21, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,1.38142e-12
"RESULTS__Sensitivity to the intrinsic and instrumental value of choice_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","VoC x age x trial effect: β = .12, SE = .04, X 2 (1) = 9.59, p = .002","p = .002","exact",0.002,TRUE,NA
"RESULTS__Sensitivity to the intrinsic and instrumental value of choice_15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.02, SE = .14, X 2 (1) = 0.01, p = .906","p = .906","exact",0.906,TRUE,NA
"RESULTS__Sensitivity to the intrinsic and instrumental value of choice_16","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .01, SE = .12, X 2 (1) = 0.00, p = .961","p = .961","exact",0.961,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.04, SE = .01, F(1, 270) = 10.0, p = .002","p = .002","exact",0.002,TRUE,NA
