"","file","test_report","p_value","p_value_reporting","p_value_num","use_p_val","p_value_calc"
"RESULTS__Reinforcement-learning modeling results_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","t(91) = 3.2, p = .002","p = .002","exact",0.002,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","t(91) = -.87, p = .386","p = .386","exact",0.386,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .01, SE = .01, F(1, 90) = .52, p = .473","p = .473","exact",0.473,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml",". We found that agency bonuses did not vary significantly with age, b = 0.01, SE = 0.01, p = .269","p = .269","exact",0.269,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_16","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","age, b = .24, SE = 0.12, p = .056","p = .056","exact",0.056,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_17","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","b = .09, SE = .11, p = .410","p = .410","exact",0.41,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_18","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","F(1, 90) = 1.41, p = .238","p = .238","exact",0.238,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_19","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","age, b = .25, SE = 0.09, p = .008","p = .008","exact",0.008,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_110","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","Filtered sample: b = .25, SE = 0.10, p = .014","p = .014","exact",0.014,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_111","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","age, b = -0.01, SE = 0.01, p = .242","p = .242","exact",0.242,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_112","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","Filtered sample: b = -.01, SE = 0.01, p = .099","p = .099","exact",0.099,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_113","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","b = .14, SE = .08, p = .08","p = .08","exact",0.08,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_114","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: b = .15, β 𝑚𝑎𝑐ℎ𝑖𝑛𝑒 SE = 0.09, p = .083","p = .083","exact",0.083,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_115","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","agency decision x outcome valence interaction effect on learning rates: β = -.06, SE = .01, F(1, 444) = 28.3, p < .001","p < .001","calc_from_f",0.001,TRUE,1.650929e-07
"RESULTS__Reinforcement-learning modeling results_116","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml"," Filtered sample: β = -.06, SE = .01, F(1, 399) = 25.75, p < .001","p < .001","calc_from_f",0.001,TRUE,5.969384e-07
"RESULTS__Reinforcement-learning modeling results_117","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","t(149) = 6.97, p < .001","p < .001","calc_from_t",0.001,TRUE,9.554707e-11
"RESULTS__Reinforcement-learning modeling results_118","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: t(134) = 6.47, p < .001","p < .001","calc_from_t",0.001,TRUE,1.695306e-09
"RESULTS__Reinforcement-learning modeling results_119","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","t(149) = -1.11, p = .269","p = .269","exact",0.269,TRUE,NA
"RESULTS__Reinforcement-learning modeling results_120","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: t(134) = -1.18, p = .239","p = .239","exact",0.239,TRUE,NA
"RESULTS__Results_1113","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .22, SE = .06, X 2 (1) = 12.28, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,0.0004578384
"RESULTS__Results_1212","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","VoC x trial interaction effect: β = .20, SE = .03, X 2 (1) = 51.94, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,5.722274e-13
"RESULTS__Results_139","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","VoC x trial x age effect: β = .06, SE = .03, X 2 (1) = 5.26, p = .022","p = .022","exact",0.022,TRUE,NA
"RESULTS__Results_143","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","*(%,!3 -which captures the extent to which participants' agency decisions were guided by their own, learned estimates of the value of agentic choice -increased with age, b = .25, SE = .09, p = .008","p = .008","exact",0.008,FALSE,NA
"RESULTS__Results_152","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","likely false extraction: p = .081, in an exploratory, non","p = .081","exact",0.081,FALSE,NA
"RESULTS__Results_162","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","F(1, 148) = 1.55, p = .216","p = .216.","exact",0.216,TRUE,NA
"RESULTS__Results_172","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .01, SE = .17, X 2 (1) = 0.00, p = .965","p = .965","exact",0.965,TRUE,NA
"RESULTS__Results_182","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml",". Corroborating these findings, agency bonuses similarly did not vary significantly with age, b = -0.01, SE = 0.01, p = .242","p = .242.","exact",0.242,TRUE,NA
"RESULTS__Results_192","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.06, SE = .01, F(1, 444) = 28.34, p < .001","p < .001","calc_from_f",0.001,TRUE,1.619174e-07
"RESULTS__Results_1102","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","t(149) = 7.0, p < .001","p < .001","calc_from_t",0.001,TRUE,8.134369e-11
"RESULTS__Results_1114","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","t(149) = -1.1, p = .269","p = .269","exact",0.269,TRUE,NA
"RESULTS__Results_1122","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.03, SE = .01, F(1, 148) = 5.38, p = .022","p = .022","exact",0.022,TRUE,NA
"METHODS__Agency decision times_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: β = -.02, SE = .01, F(1, 90.3) = 17.0, p < .001","p < .001","limit",0.001,TRUE,NA
"METHODS__Agency decision times_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: β = -.01, SE = .003, F(1, 148.6) = 17.1, p < .001","p < .001","limit",0.001,TRUE,NA
"METHODS__Agency decision times_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: β = -.13, SE = .01, F(1, 89.4) = 83.8, p < .001","p < .001","limit",0.001,TRUE,NA
"METHODS__Agency decision times_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: β = -.10, SE = .01, F(1, 148.0) = 71.6, p < .001","p < .001","limit",0.001,TRUE,NA
"METHODS__Agency decision times_15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: p = .16","p = .16","exact",0.16,TRUE,NA
"METHODS__Agency decision times_16","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: p = .647","p = .647","exact",0.647,TRUE,NA
"METHODS__Agency decision times_17","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.08, SE = .04, F(1, 90.0) = 4.1, p = .045","p = .045","exact",0.045,TRUE,NA
"METHODS__Agency decision times_18","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.01, SE = .01, F(1, 90.9) = 1.16, p = .285","p = .285","exact",0.285,TRUE,NA
"METHODS__Agency decision times_19","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = -.01, SE = .003, F(1, 148.4) = 4.4, p = .037","p = .037","exact",0.037,TRUE,NA
"METHODS__Figure S6. Posterior predictive check: Agency decisions._11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: b = 2.3, SE = .23, t(90)= 9.9, p < .001","p < .001","calc_from_t",0.001,TRUE,4.60897e-16
"METHODS__Figure S6. Posterior predictive check: Agency decisions._12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: b = 2.4, SE = .17, t(148)= 14.4, p < .001","p < .001","calc_from_t",0.001,TRUE,6.038088e-30
"METHODS__Figure S6. Posterior predictive check: Agency decisions._13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: b β 𝑎𝑔𝑒𝑛𝑐𝑦 = .09, SE = .01, t(90) = 10.4, p < .001","p < .001","calc_from_t",0.001,TRUE,4.230926e-17
"METHODS__Figure S6. Posterior predictive check: Agency decisions._14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: b = .10, SE = .01, t(148) = 19.4, p < .001","p < .001","calc_from_t",0.001,TRUE,1.712921e-42
"METHODS__Figure S6. Posterior predictive check: Agency decisions._15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: b = .09, SE = .01, t(89)= 10.0, β 𝑎𝑔𝑒𝑛𝑐𝑦 p < .001","p < .001","calc_from_t",0.001,TRUE,3.201919e-16
"METHODS__Figure S6. Posterior predictive check: Agency decisions._16","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: b = .10, SE = .01, t(147)= 18.7, p < .001","p < .001","calc_from_t",0.001,TRUE,1.066775e-40
"METHODS__Figure S6. Posterior predictive check: Agency decisions._17","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","E1: p = .239","p = .239","exact",0.239,TRUE,NA
"METHODS__Figure S6. Posterior predictive check: Agency decisions._18","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; E2: p = .808","p = .808","exact",0.808,TRUE,NA
"METHODS__Choice-based value estimation task_1","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","X 2 (1) = 79.9, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,3.938466e-19
"METHODS__Declarative value estimation task_1","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","X 2 (1) = 21.7, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,3.187913e-06
"RESULTS__Machine selection decisions_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .50, SE = .05, X 2 (1) = 69.5, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,7.641451e-17
"RESULTS__Machine selection decisions_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml"," Filtered sample: β = .53, SE = .06, X 2 (1) = 66.5, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,3.498936e-16
"RESULTS__Machine selection decisions_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","Full sample: β = .41, SE = .07, X 2 (1) = 29.27, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,6.296298e-08
"RESULTS__Machine selection decisions_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β = .39, SE = .07, X 2 (1) =25.05, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,5.586276e-07
"RESULTS__Machine selection decisions_15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .09, SE = .04, X 2 (1) = 5.47, p = .019","p = .019","exact",0.019,TRUE,NA
"RESULTS__Machine selection decisions_16","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β = .08, SE = .04, X 2 (1) = 3.44, p = .064","p = .064","exact",0.064,TRUE,NA
"RESULTS__Machine selection decisions_17","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .46, SE = .11, X 2 (1) = 15.49, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,8.29429e-05
"RESULTS__Machine selection decisions_18","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β = .53, SE = .12, X 2 (1) = 18.88, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,1.392045e-05
"RESULTS__Agency decisions_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = 1.09, SE = .06, X 2 (1) = 166.6, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,4.090755e-38
"RESULTS__Agency decisions_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml"," Filtered sample: β = 1.15, SE = .06, X 2 (1) = 168.42, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,1.63781e-38
"RESULTS__Agency decisions_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","β = .22, SE = .06, X 2 (1) = 12.28, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,0.0004578384
"RESULTS__Agency decisions_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β =.21, SE = .06, X 2 (1) = 10.92, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,0.0009513161
"RESULTS__Agency decisions_15","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","VoC x trial interaction effect: β = .20, SE = .03, X 2 (1) = 51.94, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,5.722274e-13
"RESULTS__Agency decisions_16","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β = .20, SE = .03, X 2 (1) = 48.77, p < .001","p < .001","calc_from_chi_squared",0.001,TRUE,2.878086e-12
"RESULTS__Agency decisions_17","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","VoC x trial x age effect: β = .06, SE = .03, X 2 (1) = 5.26, p = .022","p = .022","exact",0.022,TRUE,NA
"RESULTS__Agency decisions_18","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β =.06, SE = .03, X 2 (1) = 5.31, p = .021","p = .021","exact",0.021,TRUE,NA
"RESULTS__Agency decisions_19","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","Full sample: β = .01, SE = .18, X 2 (1) = 0.00, p = .965","p = .965","exact",0.965,TRUE,NA
"RESULTS__Agency decisions_110","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: β = -.03, SE = .13, X 2 (1) = 0.04, p = .840","p = .840","exact",0.84,TRUE,NA
"RESULTS__Explicit knowledge of machine reward probabilities_11","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","F(1, 748) = 23.42, p < .001","p < .001","calc_from_f",0.001,TRUE,1.58215218271119e-06
"RESULTS__Explicit knowledge of machine reward probabilities_12","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: F(1, 673) = 22.78, p < .001","p < .001","calc_from_f",0.001,TRUE,2.229519e-06
"RESULTS__Explicit knowledge of machine reward probabilities_13","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","F(1, 148) = 7.59, p = .007","p = .007","exact",0.007,TRUE,NA
"RESULTS__Explicit knowledge of machine reward probabilities_14","downloads/Psychological_Science/10117709567976241256961.grobid.tei.xml","; Filtered sample: F(1, 133) = 7.01, p = .009","p = .009","exact",0.009,TRUE,NA
"RESULTS__Exploratory Analyses_11","downloads/Psychological_Science/10117709567976241263784.grobid.tei.xml","β = .05, 95% C.I. = (.04, .06), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Exploratory Analyses_12","downloads/Psychological_Science/10117709567976241263784.grobid.tei.xml","β = .09, 95% C.I. = (.08, .10), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Exploratory Analyses_13","downloads/Psychological_Science/10117709567976241263784.grobid.tei.xml","β = -.05, 95% C.I. = (-.06, -.04), p < .001","p < .001","limit",0.001,TRUE,NA
"12","downloads/Psychological_Science/10117709567976241266481.grobid.tei.xml","no p-values found; paper might be qualitative?","no p-values found; paper might be qualitative?","limit",NA,FALSE,NA
"RESULTS__Exploratory Analyses: The Role of Rumination_11","downloads/Psychological_Science/10117709567976241266513.grobid.tei.xml","B = 0.05, SE = 0.01, p < .001","p < .001","calc_from_b",0.001,TRUE,5.733031e-07
"RESULTS__Exploratory Analyses: The Role of Rumination_12","downloads/Psychological_Science/10117709567976241266513.grobid.tei.xml","B = -0.05, SE = 0.01, p < .001","p < .001","calc_from_b",0.001,TRUE,5.733031e-07
"RESULTS__Supplemental Analyses_1","downloads/Psychological_Science/10117709567976241266513.grobid.tei.xml","p < .05 using the Benjamini","p < .05","limit",0.05,TRUE,NA
"RESULTS__Effect of animacy and saliency_11","downloads/Psychological_Science/10117709567976241279198.grobid.tei.xml","F 1,76 = 23.2, p < 10 -5 ","p < 10","limit",10,FALSE,NA
"RESULTS__Effect of animacy and saliency_12","downloads/Psychological_Science/10117709567976241279198.grobid.tei.xml","F 1,76 = 106.1, p < 10 -15 ","p < 10","limit",10,FALSE,NA
"RESULTS__Effect of animacy and saliency_13","downloads/Psychological_Science/10117709567976241279198.grobid.tei.xml","F 1,76 = 0.5, p = 0.47","p = 0.47","exact",0.47,TRUE,NA
"RESULTS__Transition to informal caregiving_11","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","LISS: b = -2.13, 99% CI (-3.80, -0.46), p = .001","p = .001","exact",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_12","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","LISS: b = -4.30, 99% CI (-6.55, -2.05), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_13","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml"," (-2.45, -0.25), p = .002","p = .002.","exact",0.002,TRUE,NA
"RESULTS__Transition to informal caregiving_14","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","SOEP: b = -3.21, 99% CI (-4.27, -2.15), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_15","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml"," (-2.65, -0.57), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_16","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","SOEP: b = -1.44, 99% CI (-2.67, -0.21), p = .003","p = .003","exact",0.003,TRUE,NA
"RESULTS__Transition to informal caregiving_17","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","women: b = 3.58, 99% CI (2.61, 4.54), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_18","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","a caregiver, b = 2.15, 99% CI (0.67, 3.63), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_19","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","""+2"": b = 2.67, 99% CI (1.29, 4.06), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_110","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","women in LISS: b = 3.31, 99% CI (1.84, 4.78), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Transition to informal caregiving_111","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","women in LISS: b = 2.11, 99% CI (0.38, 3.84), p = .002","p = .002","exact",0.002,TRUE,NA
"RESULTS__Transition to informal caregiving_112","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","","p = .002","exact",0.002,TRUE,NA
"RESULTS__Transition to informal caregiving_113","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","p = .004, but women continually from the year before the transition to three or more years following the transition, b = 4.92, 99","p = .004","exact",0.004,TRUE,NA
"RESULTS__Transition to informal caregiving_114","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml"," (2.36,7.48), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Moderators of the effects of time spent on caregiving_11","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","SOEP: b = 0.22, 99% CI (-0.04, 0.47), p = .029","p = .029","exact",0.029,TRUE,NA
"RESULTS__Moderators of the effects of time spent on caregiving_12","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","; HILDA: b = 0.14, 99% CI (-0.04, 0.33), p = .042","p = .042","exact",0.042,TRUE,NA
"RESULTS__Moderators of the effects of time spent on caregiving_13","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","b = -0.25, 99% CI (-0.50, -0.0002), p = .00994","p = .00994","exact",0.00994,TRUE,NA
"RESULTS__Moderators of the effects of time spent on caregiving_14","downloads/Psychological_Science/10117709567976241279203.grobid.tei.xml","SOEP: b = -0.28, 99% CI (-0.48, -0.08), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Relationship status and the Big Five personality traits_11","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","4; -0.06), p = .004","p = .004","exact",0.004,TRUE,NA
"RESULTS__Relationship status and the Big Five personality traits_12","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","; 5.82), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Relationship status and the Big Five personality traits_13","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","; 3.80), p = .004","p = .004","exact",0.004,TRUE,NA
"RESULTS__Figure 3_11","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","of men, b = 1.74, 99.5% CI (0.09; 3.40), p = .004","p = .004","exact",0.004,TRUE,NA
"RESULTS__Figure 3_12","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","of singles, b = 2.20, 99.5% CI (0.01; 4.39), p = .0048","p = .0048","exact",0.0048,TRUE,NA
"RESULTS__Relationship status and life satisfaction_11","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml"," 0.27), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Relationship status and life satisfaction_12","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","; 6.01), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Relationship status and life satisfaction_13","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml"," 3.67), p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Relationship status and life satisfaction_14","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml"," -0.02), p = .004","p = .004","exact",0.004,TRUE,NA
"RESULTS__Relationship status and life satisfaction_15","downloads/Psychological_Science/10117709567976241286865.grobid.tei.xml","at p < .05","p < .05","limit",0.05,TRUE,NA
"RESULTS__Referent selection_11","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","βgiven= -6.738, p = .012","p = .012","exact",0.012,TRUE,NA
"RESULTS__Referent selection_12","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β= -12.712, p = .005","p = .005","exact",0.005,TRUE,NA
"RESULTS__Referent selection_13","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml"," βfocus = 6.593, p = .005","p = .005","exact",0.005,TRUE,NA
"RESULTS__Results_1115","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β =-2.904, p = .012","p = .012","exact",0.012,TRUE,NA
"RESULTS__Results_1213","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β = 4.06, p = .077","p = .077","exact",0.077,TRUE,NA
"RESULTS__Results_1310","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β = 3.863, p = .046","p = .046","exact",0.046,TRUE,NA
"RESULTS__Results_144","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β = 7.805, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_153","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β = 0.794, p = .59","p = .59","exact",0.59,TRUE,NA
"RESULTS__Results_163","downloads/Psychological_Science/10117709567976241287732.grobid.tei.xml","β = -0.54, p = .707","p = .707","exact",0.707,TRUE,NA
